,Funding Orgs
993,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [IN161043]"
994,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [RG DISC1504]"
995,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [RG-161002]"
996,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [RG1402-1, RG1402-2]"
997,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia [SB161115]"
998,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia under DSR project [DISC1505]"
999,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia; Center for Environment and Water (CEW), Research Institute at KFUPM"
1000,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia; Center for Environment and Water (CEW), Research Institute, at KFUPM"
1001,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia; Deanship of Scientific Research (DSR) at KFUPM [DF181007]"
1002,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia; King Abdulaziz City for Science and Technology (KACST), Saudi Arabia [10-ADV1365-04]"
1003,"King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia; Thamar University, Yemen"
1004,King Fahd University of Petroleum and Minerals (KFUPM);  [COE-572132-2]
1005,"King Fahd University of Petroleum and Minerals (KFUPM); Center of Research Excellence in Corrosion (CoRE-C), KFUPM"
1006,King Fahd University of Petroleum and Minerals (KFUPM); Deanship of Scientific Research (DSR)
1007,King Fahd University of Petroleum and Minerals (KFUPM); Deanship of Scientific Research (DSR) [DF191005]
1008,King Fahd University of Petroleum and Minerals (KFUPM); department of computer engineering
1009,King Fahd University of Petroleum and Minerals (KFUPM); King Abdulaziz City for Science and Technology (KACST) [11-ADV2134-04]
1010,"King Fahd University of Petroleum and Minerals (KFUPM); King Abdulaziz City for Science and Technology (KACST) [EE2381, KACST TIC R2-FP-008]; King Abdullah University of Science and Technology (KAUST)King Abdullah University of Science & Technology [BAS/1/1614-01-01, KCR/1/2081-01-01, GEN/1/6607-01-01]; KAUST-KFUPM Special Initiative (KKI) Program [REP/1/2878-01-01]"
1011,"King Fahd University of Petroleum and Minerals (KFUPM); King Abdulaziz City for Science and Technology as part of the National Science, Technology, and Innovation Plan (NSTIP Project) through the Science and Technology Unit at KFUPM [14-OIL468-04]"
1012,King Fahd University of Petroleum and Minerals (KFUPM); King Abdulaziz City of Science and Technology (KACST) [AR-26-26]
1013,"King Fahd University of Petroleum and Minerals (KFUPM); MIT [MIT11111-11112, MIT14103]"
1014,"King Fahd University of Petroleum and Minerals (KFUPM); National Science, Technology and Innovation Plan (NSTIP) [14-ADV890-04-R]"
1015,King Fahd University of Petroleum and Minerals (KFUPM); Power System Engineering Research Center (PSERC); Air Force Office of Scientific Research (AFOSR)United States Department of DefenseAir Force Office of Scientific Research (AFOSR) [FA9550-19-1-0353]
1016,King Fahd University of Petroleum and Minerals (KFUPM); SABIC [FT161013]
1017,King Fahd University of Petroleum and Minerals (KFUPM); SABIC [ME 2394]
1018,King Fahd University of Petroleum and Minerals (KFUPM); Saudi Aramco [CIPR 2330]
1019,"King Fahd University of Petroleum and Minerals (KFUPM); University of Western Australia (UWA); Commonwealth Scientific Industrial Research Organization (CSIRO)Commonwealth Scientific & Industrial Research Organisation (CSIRO); Schlumberger SIS, Australia; BASF"
1020,"King Fahd University of Petroleum and Minerals (Saudi Arabia) under the Center of Excellence for Scientific Collaboration with the National University of Singapore [NUS15109, NUS 15110]; Physics Department of KFUPM"
1021,King Fahd University of Petroleum and Minerals [DF 181003]
1022,King Fahd University of Petroleum and Minerals [DF181028]
1023,King Fahd University of Petroleum and Minerals [DF181034]; KFUPM
1024,"King Fahd University of Petroleum and Minerals [DF191004]; King Abdullah City for Atomic and Renewable Energy (K.A.CARE), Energy Research and Innovation Center (ERIC) at KFUPM"
1025,King Fahd University of Petroleum and Minerals [DISC1501]
1026,King Fahd University of Petroleum and Minerals [DSR NUS15105]
1027,King Fahd University of Petroleum and Minerals [DSR SL191003]
1028,King Fahd University of Petroleum and Minerals [FT141009]
1029,King Fahd University of Petroleum and Minerals [FT161002]; King Fahd University of Petroleum and Minerals (KFUPM Saudi Arabia)
1030,King Fahd University of Petroleum and Minerals [FT161006]
1031,King Fahd University of petroleum and Minerals [IN 151027]
1032,King Fahd University of Petroleum and Minerals [IN121044]
1033,King Fahd University of Petroleum and Minerals [IN141048]
1034,King Fahd University of Petroleum and Minerals [IN151001]
1035,King Fahd University of Petroleum and Minerals [IN151001]; Khwaja Fareed University of Engineering and Information Technology
1036,King Fahd University of Petroleum and Minerals [IN151013]
1037,King Fahd University of Petroleum and Minerals [IN151015]
1038,King Fahd University of Petroleum and Minerals [IN151028]
1039,King Fahd University of Petroleum and Minerals [IN161001]
1040,King Fahd University of Petroleum and Minerals [IN161016]
1041,King Fahd University of Petroleum and Minerals [IN161022]
1042,"King Fahd University of Petroleum and Minerals [IN161049]; King Fahd University of Petroleum and Minerals (KFUPM, Dhahran, Saudi Arabia)"
1043,King Fahd University of Petroleum and Minerals [IN161059]
1044,King Fahd University of Petroleum and Minerals [IN171001]
1045,King Fahd University of Petroleum and Minerals [IN171004]
1046,King Fahd University of Petroleum and Minerals [IN171005]
1047,King Fahd University of Petroleum and Minerals [IN171010]
1048,King Fahd University of Petroleum and Minerals [IN171016]
1049,King Fahd University of Petroleum and Minerals [IN171018]
1050,King Fahd University of Petroleum and Minerals [IN171020]
1051,King Fahd University of Petroleum and Minerals [IN171048]
1052,King Fahd University of Petroleum and Minerals [ISSP1801]
1053,King Fahd University of Petroleum and Minerals [JF10010]
1054,King Fahd University of Petroleum and Minerals [KAUST004]; King Saud UniversityKing Saud University [RG-1438-092]; KACST-TIC in SSL
1055,King Fahd University of Petroleum and Minerals [KAUST004]; King Saud UniversityKing Saud University [RG-1438-092]; KACST-TIC in SSL [EE2381]
1056,King Fahd University of Petroleum and Minerals [ORCP2390]
1057,King Fahd University of Petroleum and Minerals [RG 1501]
1058,"King Fahd University of Petroleum and Minerals [RG1317-1, RG1317-2]"
1059,"King Fahd University of Petroleum and Minerals [RG1420-1, RG1420-2]"
1060,"King Fahd University of Petroleum and Minerals [RG1422-1, RG1422-2, RG181004]"
1061,King Fahd University of Petroleum and Minerals [RG171004]; King Abdullah City for Atomic and Renewable Energy
1062,King Fahd University of Petroleum and Minerals [RG171007]
1063,King Fahd University of Petroleum and Minerals [RG181001]; Brazilian Council for Research (CNPq)National Council for Scientific and Technological Development (CNPq); CAPES foundationCAPES; Research Foundation Flanders (FWO-Vl)FWO
1064,King Fahd University of Petroleum and Minerals [SB151002]
1065,King Fahd University of Petroleum and Minerals [SB181004]
1066,King Fahd University of Petroleum and Minerals [SB181021]; Algerian Ministry of Higher Education and Scientific Research
1067,King Fahd University of Petroleum and Minerals [SB181034]
1068,King Fahd University of Petroleum and Minerals [SF191-EE-540]
1069,King Fahd University of Petroleum and Minerals [SR161009]
1070,King Fahd University of Petroleum and Minerals [SR181017]; Khalifa University [CIRA-121]
1071,King Fahd University of Petroleum and Minerals and King Abdullah University of Science and Technology
1072,King Fahd University of Petroleum and Minerals Dhahran Saudi Arabia; King Abdullah City for Atomic and Renewable Energy (K.A.CARE)
1073,"King Fahd University of Petroleum and Minerals Dhahran, Saudi Arabia under DSR project [RG-161002]"
1074,King Fahd University of Petroleum and Minerals DSR project [IN121002]; Center of Research Excellence in Nanotechnology (CENT) at KFUPM
1075,King Fahd University of Petroleum and Minerals for this Research
1076,"King Fahd University of Petroleum and Minerals in Dhahran - Saudi Arabia; Imam Abdulrahman Bin Faisal University, Dammam - Saudi Arabia"
1077,"King Fahd University of Petroleum and Minerals in Dhahran, Saudi Arabia; Karmetal AS in Turkey"
1078,King Fahd University of Petroleum and Minerals through the Deanship of Scientic Research [IN171010]
1079,King Fahd University of Petroleum and Minerals through the Electrical Power and Energy System Research Group [RG1420-12]
1080,King Fahd University of Petroleum and Minerals through the Power Research Group [RG171002]; King Abdullah City for Atomic and Renewable Energy (K.A. CARE)
1081,"King Fahd University of Petroleum and Minerals under DSR project [SR151002]; National Research Foundation of KoreaNational Research Foundation of Korea [2015R1C1A1A01054482, 2017M3A9C6061361]; Bio and Medical Technology Development Program of the National Research Foundation (NRF); Korean government (MSIP) [2017M3A9E4048172]; Korean government (MOHW)Korean Government [2017M3A9E4048172]"
1082,"King Fahd University of Petroleum and Minerals under DSR project [SR151002]; National Research Foundation of KoreaNational Research Foundation of Korea [2018M3A9H3022412, 2017M3A9C6061361]; Bio and Medical Technology Development Program of the National Research Foundation of Korea (NRF); Korean government (MSIP) [2017M3A9E4048172]; Korean government (MOHW)Korean Government [2017M3A9E4048172]"
1083,King Fahd University of Petroleum and Minerals-KFUPM [IN101041]
1084,King Fahd University of Petroleum and Minerals-King Abdullah University of Science and Technology Initiative [KAUST004]
1085,"King Fahd University of Petroleum and Minerals, (KFUPM); King Abdullah University of Science and Technology (KAUST)King Abdullah University of Science & Technology; Generalitat de Catalunya (MERS 2017 SGR) [1588]; Australian Research Council LIEF ProjectAustralian Research Council [LE170100219]; Obra Social ""LaCaixa""La Caixa Foundation [LCF/BQ/ES14/10320004];  [MDM2015-0552]"
1086,"King Fahd University of Petroleum and Minerals, Civil and Environmental Department; Deanship of Scientific Research [IN171047]"
1087,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
1088,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [IN161004]; Deanship of Scientific Research [IN161004]"
1089,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [RG1121-1, RG1121-2]"
1090,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [RG1323-1, RG1323-2]"
1091,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [SB121010]; Center of Research Excellence in Renewable Energy, Research Institute, KFUPM"
1092,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia [SR171019]; Department of Physics and Chemistry, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
1093,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Saudi Arabian Engineering Co., SAECO Lab; Kuwait Ministry of Electricity & Water, PSMD Lab"
1094,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Turkish Scientific and Research Council (TUBITAK)Turkiye Bilimsel ve Teknolojik Arastirma Kurumu (TUBITAK) [215E311]"
1095,"King Fahd University of Petroleum and Minerals, Kingdom of Saudi Arabia"
1096,"King Fahd University of Petroleum and Minerals, Saudi Arabia"
1097,"King Fahd University of Petroleum and Minerals, Saudi Arabia (KFUPM) [RG1406]"
1098,"King Fahd University of Petroleum and Minerals, Saudi Arabia [IN131026]"
1099,"King Fahd University of Petroleum and Minerals, Saudi Arabia [IN151022]"
1100,"King Fahd University of Petroleum and Minerals, Saudi Arabia [IN161024]"
1101,"King Fahd University of Petroleum and Minerals, Saudi Arabia [IN161052 DSR]"
1102,"King Fahd university of Petroleum and Minerals, Saudi Arabia [IN171001]"
1103,"King Fahd University of Petroleum and Minerals, Saudi Arabia [IN171012]"
1104,"King Fahd University of Petroleum and Minerals, Saudi Arabia [KAUST004]; King Abdulaziz City for Science and Technology (KACST), Saudi Arabia [KACST TIC R2-FP-008]; King Abdullah University of Science and Technology (KAUST), Saudi Arabia baseline fundingKing Abdullah University of Science & Technology [BAS/1/1614-01-01, KCR/1/2081-01-01, GEN/1/6607-01-01]; KAUST-KFUPM Special Initiative (KKI) Program [REP/1/2878-01-01]"
1105,"King Fahd University of Petroleum and Minerals, Saudi Arabia [SB181006 DSR]"
1106,"King Fahd University of Petroleum and Minerals, Saudi Arabia, under the KFUPM/SABIC Internal Grants program [SB121007]; KFUPM"
1107,"King Fahd University of Petroleum and Minerals, through the Center of Research Excellence for Water Desalination [DISC1501]"
1108,"King Fahd University of Petroleum and Minerals, under the Center for Excellence in Research in Desalination [DISC1501]"
1109,King Fahd University of Petroleum and Minerals; Center for Engineering Research
1110,King Fahd University of Petroleum and Minerals; Deanship of Research at KFUPM [SB171003]; KACST Technology Innovation Center for Carbon Capture and Sequestration (CCS-TIC) at KFUPM [32-753]
